,,,,,
,Category,Software,Status,,SystemShield
,Bad Software,McAfee,Current,,Detection List 
,Bad Software,Norton,Current,,v.0.1
,Bad Software,Avast,Current,,2/27/2026
,Bad Software,AVG,Current,,
,Bad Software,CCleaner,Current,,
,Bad Software,IObit,Current,,
,Bad Software,Advanced SystemCare,Current,,
,Bad Software,Driver Booster,Current,,
,Bad Software,uTorrent,Current,,
,Bad Software,Clean Master,Current,,
,Bad Software,PC Optimizer Pro,Current,,
,Bad Software,MyCleanPC,Current,,
,Bad Software,WinZip,Current,,
,Bad Software,Ask Toolbar,Current,,
,Bad Software,Conduit,Current,,
,Bad Software,Babylon,Current,,
,Bad Software,Toolbar,Current,,
,,,,,
,Network Capture,Wireshark,Current,,
,Network Capture,Npcap,Current,,
,Network Capture,WinPcap,Current,,
,Network Capture,Microsoft Network Monitor,Current,,
,Network Capture,RawCap,Current,,
,Network Capture,SmartSniff,Current,,
,Network Capture,Fiddler,Current,,
,Network Capture,Charles Proxy,Current,,
,,,,,
,To Do:,,,,
,Bad Software,OneLaunch,TODO,,
,Bad Software,Wave Browser,TODO,,
,Bad Software,WebDiscover,TODO,,
,Bad Software,SearchApp,TODO,,
,Bad Software,DriverPack Solution,TODO,,
,Bad Software,Segurazo Antivirus,TODO,,
,Bad Software,RAV Antivirus,TODO,,
,Bad Software,PC Accelerate,TODO,,
,Bad Software,DriverUpdate,TODO,,
,Bad Software,PremierOpinion,TODO,,
,Bad Software,MySearchDial,TODO,,
,Bad Software,CouponBar,TODO,,
,Bad Software,RelevantKnowledge,TODO,,
,Bad Software,Wajam,TODO,,
,Bad Software,iLivid,TODO,,
,Bad Software,OpenCandy,TODO,,
,Bad Software,ByteFence,TODO,,
,Bad Software,TotalAV,TODO,,
,Bad Software,System Mechanic,TODO,,
,Bad Software,Restoro,TODO,,
,Bad Software,Reimage,TODO,,
,Bad Software,PC Cleaner,TODO,,
,Bad Software,Advanced PC Care,TODO,,
,Bad Software,PC Fix Speed,TODO,,
,Bad Software,Driver Easy,TODO,,
,Bad Software,DriverMax,TODO,,
,Bad Software,SlimDrivers,TODO,,
,Bad Software,Smart Driver Updater,TODO,,
,Bad Software,Uniblue RegistryBooster,TODO,,
,Bad Software,RegClean Pro,TODO,,
,Bad Software,MyPC Backup,TODO,,
,Bad Software,Amonetize,TODO,,
,Bad Software,InstallCore,TODO,,
,Bad Software,Softonic Downloader,TODO,,
,Bad Software,DownloadAdmin,TODO,,
,Bad Software,CrossRider,TODO,,
,Bad Software,Spigot Toolbar,TODO,,
,Bad Software,Delta Toolbar,TODO,,
,Bad Software,SweetIM,TODO,,
,Bad Software,MyWebSearch,TODO,,
,Bad Software,Funmoods,TODO,,
,Bad Software,Trovi,TODO,,
,Bad Software,Qvo6,TODO,,
,Bad Software,Vosteran,TODO,,
,Bad Software,Astromenda,TODO,,
,Bad Software,SafeFinder,TODO,,
,Bad Software,iStartSurf,TODO,,
,Bad Software,Claro Search,TODO,,
,Bad Software,Search Protect,TODO,,
,,,,,
,Network Capture,Tshark,TODO,,
,Network Capture,tcpdump,TODO,,
,Network Capture,NetworkMiner,TODO,,
,Network Capture,Burp Suite,TODO,,
,Network Capture,Ettercap,TODO,,
,Network Capture,dsniff,TODO,,
,Network Capture,Cain and Abel,TODO,,
,Network Capture,Nmap,TODO,,
,Network Capture,Zenmap,TODO,,
,Network Capture,Aircrack-ng,TODO,,
,Network Capture,Kismet,TODO,,
,Network Capture,Bettercap,TODO,,
,Network Capture,Packet Sender,TODO,,
,Network Capture,Colasoft Capsa,TODO,,
,Network Capture,Snort,TODO,,
,Network Capture,Suricata,TODO,,
,Network Capture,PRTG Packet Capture,TODO,,
,Network Capture,Xplico,TODO,,
,Network Capture,EtherApe,TODO,,
,Network Capture,OmniPeek,TODO,,
,Network Capture,Debookee,TODO,,
,Network Capture,NetSpot,TODO,,
,Network Capture,inSSIDer,TODO,,
,Network Capture,CommView,TODO,,
,Network Capture,GlassWire Packet Capture,TODO,,
,,,,,
,Vulnerable Software,Adobe Flash Player,TODO,,
,Vulnerable Software,Java 6,TODO,,
,Vulnerable Software,Java 7,TODO,,
,Vulnerable Software,Old Java 8,TODO,,
,Vulnerable Software,Silverlight,TODO,,
,Vulnerable Software,Shockwave Player,TODO,,
,Vulnerable Software,Old OpenSSL,TODO,,
,Vulnerable Software,Old Python,TODO,,
,Vulnerable Software,Old NodeJS,TODO,,
,Vulnerable Software,WinRAR <6,TODO,,
,Vulnerable Software,7-Zip <23,TODO,,
,Vulnerable Software,VLC <3,TODO,,
,Vulnerable Software,SMBv1,TODO,,
,Vulnerable Software,Weak TLS,TODO,,
,Vulnerable Software,Old .NET Framework,TODO,,
,Vulnerable Software,Internet Explorer,TODO,,
,,,,,
,Unwanted Services,FTP,TODO,,
